Issue ID,Issue Type,Summary,Epic Name,Epic Link,Component,Labels,Priority,Severity,Assignee,Automation,Description
MFQA-1,Epic,Pre-Production Testing — MediFlow v2 v1 Launch,MediFlow v2 Pre-Prod Testing,,All,launch-blocker,P0 Highest,,QA,,Verify every patient and doctor flow across web and mobile plus security payments video messaging email and ops readiness; sign off against launch exit criteria before production deploy. Full detail in docs/qa/PreProductionTestPlan.md.
MFQA-10,Test,Email-OTP login signup-on-first-login and logout (Web),,MFQA-1,Auth,web patient e2e-covered,P0 Highest,,Both,e2e/auth.spec.ts,New email auto-provisions as patient; role landing correct; logout fully clears session. See plan MFQA-10.
MFQA-11,Test,Doctor clinic sign-in gate and role routing (Web),,MFQA-1,Auth,web doctor e2e-covered,P0 Highest,,Tester B,e2e/auth.spec.ts,Only role=doctor admitted at /doctor/login; patient blocked; / routes by role. See plan MFQA-11.
MFQA-12,Test,Google sign-in optional provider (Web),,MFQA-1,Auth,web patient third-party,P2 Medium,,Tester A,none,Google button appears when GOOGLE_* set and completes OAuth; hidden when unset. See plan MFQA-12.
MFQA-20,Test,Unauthenticated API rejection (401) across protected routes,,MFQA-1,Security/AuthZ,api e2e-covered launch-blocker,P0 Highest,,Both,e2e/api/authorization.spec.ts route-guards.spec.ts,Every protected endpoint rejects anonymous with 401 no leakage. See plan MFQA-20.
MFQA-21,Test,Doctor-only routes reject patients (403) and patient IDOR protection,,MFQA-1,Security/AuthZ,api e2e-covered launch-blocker,P0 Highest,,Both,e2e/api/route-guards.spec.ts idor.spec.ts,Patient cannot reach doctor routes (403) or read/mutate another patient resource. See plan MFQA-21.
MFQA-22,Test,Input validation on booking follow-up refill payloads (400),,MFQA-1,Security/AuthZ,api e2e-covered,P1 High,,Tester B,e2e/api/validation.spec.ts,Malformed payloads rejected 400 (zod) no row written. See plan MFQA-22.
MFQA-23,Test,Realtime socket token HMAC validity expiry refresh CORS,,MFQA-1,Security/AuthZ,api unit-covered third-party,P1 High,,Both,src/lib/realtime-token.test.ts,15-min HMAC tokens verify/reject/refresh; browser Origin gated native exempt. See plan MFQA-23.
MFQA-24,Test,Production env safety audit check:env:strict and CRON_SECRET,,MFQA-1,Security/AuthZ,launch-blocker deployment,P0 Highest,,Both,scripts/check-production-env.ts,Strict env audit passes; reminder endpoint 401 without secret 200 with it. See plan MFQA-24.
MFQA-30,Test,Doctor profile setup (specialty bio fee slot-length timezone),,MFQA-1,Clinical/Encounter,web doctor,P1 High,,Tester B,none,Profile auto-provisions; fee (paise) slot length timezone persist and drive slots/receipts. See plan MFQA-30.
